"","x","group","mean","lower","upper"
"1","<1990","<=5",0.295974743488556,0.172019617669769,0.500037594323098
"2","<1990",">5",0,0,0.478025288689275
"3","1990-1995","<=5",0.377928949357521,0.237370754530992,0.59449500784366
"4","1990-1995",">5",0.306122448979592,0.0790935210235686,0.97112047844832
"5","1995-2000","<=5",0.788386935302215,0.611238044680964,1.01434183749051
"6","1995-2000",">5",0,0,0.253281480207486
"7","2000-2005","<=5",0.431756997003098,0.347066807990119,0.536320881906549
"8","2000-2005",">5",0.368843566934259,0.222092330059904,0.603243121562642
"9","2005-2010","<=5",8.97766705222885,8.67573573397217,9.28899026808377
"10","2005-2010",">5",30.6070105443146,29.5325864806529,31.7027935249603
"11","2010-2018","<=5",40.2937171756468,39.9352159605033,40.6532564483109
"12","2010-2018",">5",73.1536295189379,72.4871898993962,73.8098027893696
